date,cme_symbol,cme_price,cme_change,cme_change_pct,chennai_24k_price,chennai_diff_pct,usd_inr,usd_inr_diff
2026-07-20,GCQ26.CMX,4028.5,9.7,0.24,14345.0,,96.3,
2026-07-21,GCQ26.CMX,4078.1,62.2,1.55,14422.0,0.54,96.35,0.05
2026-07-22,GCQ26.CMX,4124.2,47.8,1.17,14651.0,1.59,96.28,-0.07
2026-07-23,GCQ26.CMX,4126.3,-25.6,-0.62,14727.0,0.52,96.39,0.11
2026-07-24,GCQ26.CMX,4037.5,-12.7,-0.31,14433.0,-2.0,96.54,0.15
2026-07-25,GCQ26.CMX,4070.8,20.6,0.51,14509.0,0.53,96.54,0.0
2026-07-26,GCQ26.CMX,4070.8,20.6,0.51,14509.0,0.0,96.54,0.0
2026-07-27,GCQ26.CMX,4105.1,34.3,0.84,14585.0,0.52,96.53,-0.01
2026-07-28,GCQ26.CMX,4046.3,-30.7,-0.75,14416.0,-1.16,96.22,-0.31
2026-07-29,GCQ26.CMX,4039.0,0.3,0.01,14351.0,-0.45,95.9,-0.32
2026-07-30,GCQ26.CMX,4034.9,-1.4,-0.03,14433.0,0.57,95.76,-0.14
